text,label
Government policy update number 0,1
Government policy update number 1,1
Government policy update number 2,1
Government policy update number 3,1
Government policy update number 4,1
Government policy update number 5,1
Government policy update number 6,1
Government policy update number 7,1
Government policy update number 8,1
Government policy update number 9,1
Government policy update number 10,1
Government policy update number 11,1
Government policy update number 12,1
Government policy update number 13,1
Government policy update number 14,1
Government policy update number 15,1
Government policy update number 16,1
Government policy update number 17,1
Government policy update number 18,1
Government policy update number 19,1
Government policy update number 20,1
Government policy update number 21,1
Government policy update number 22,1
Government policy update number 23,1
Government policy update number 24,1
Government policy update number 25,1
Government policy update number 26,1
Government policy update number 27,1
Government policy update number 28,1
Government policy update number 29,1
Government policy update number 30,1
Government policy update number 31,1
Government policy update number 32,1
Government policy update number 33,1
Government policy update number 34,1
Government policy update number 35,1
Government policy update number 36,1
Government policy update number 37,1
Government policy update number 38,1
Government policy update number 39,1
Government policy update number 40,1
Government policy update number 41,1
Government policy update number 42,1
Government policy update number 43,1
Government policy update number 44,1
Government policy update number 45,1
Government policy update number 46,1
Government policy update number 47,1
Government policy update number 48,1
Government policy update number 49,1
Government policy update number 50,1
Government policy update number 51,1
Government policy update number 52,1
Government policy update number 53,1
Government policy update number 54,1
Government policy update number 55,1
Government policy update number 56,1
Government policy update number 57,1
Government policy update number 58,1
Government policy update number 59,1
Government policy update number 60,1
Government policy update number 61,1
Government policy update number 62,1
Government policy update number 63,1
Government policy update number 64,1
Government policy update number 65,1
Government policy update number 66,1
Government policy update number 67,1
Government policy update number 68,1
Government policy update number 69,1
Government policy update number 70,1
Government policy update number 71,1
Government policy update number 72,1
Government policy update number 73,1
Government policy update number 74,1
Government policy update number 75,1
Government policy update number 76,1
Government policy update number 77,1
Government policy update number 78,1
Government policy update number 79,1
Government policy update number 80,1
Government policy update number 81,1
Government policy update number 82,1
Government policy update number 83,1
Government policy update number 84,1
Government policy update number 85,1
Government policy update number 86,1
Government policy update number 87,1
Government policy update number 88,1
Government policy update number 89,1
Government policy update number 90,1
Government policy update number 91,1
Government policy update number 92,1
Government policy update number 93,1
Government policy update number 94,1
Government policy update number 95,1
Government policy update number 96,1
Government policy update number 97,1
Government policy update number 98,1
Government policy update number 99,1
Government policy update number 100,1
Government policy update number 101,1
Government policy update number 102,1
Government policy update number 103,1
Government policy update number 104,1
Government policy update number 105,1
Government policy update number 106,1
Government policy update number 107,1
Government policy update number 108,1
Government policy update number 109,1
Government policy update number 110,1
Government policy update number 111,1
Government policy update number 112,1
Government policy update number 113,1
Government policy update number 114,1
Government policy update number 115,1
Government policy update number 116,1
Government policy update number 117,1
Government policy update number 118,1
Government policy update number 119,1
Government policy update number 120,1
Government policy update number 121,1
Government policy update number 122,1
Government policy update number 123,1
Government policy update number 124,1
Government policy update number 125,1
Government policy update number 126,1
Government policy update number 127,1
Government policy update number 128,1
Government policy update number 129,1
Government policy update number 130,1
Government policy update number 131,1
Government policy update number 132,1
Government policy update number 133,1
Government policy update number 134,1
Government policy update number 135,1
Government policy update number 136,1
Government policy update number 137,1
Government policy update number 138,1
Government policy update number 139,1
Government policy update number 140,1
Government policy update number 141,1
Government policy update number 142,1
Government policy update number 143,1
Government policy update number 144,1
Government policy update number 145,1
Government policy update number 146,1
Government policy update number 147,1
Government policy update number 148,1
Government policy update number 149,1
Government policy update number 150,1
Government policy update number 151,1
Government policy update number 152,1
Government policy update number 153,1
Government policy update number 154,1
Government policy update number 155,1
Government policy update number 156,1
Government policy update number 157,1
Government policy update number 158,1
Government policy update number 159,1
Government policy update number 160,1
Government policy update number 161,1
Government policy update number 162,1
Government policy update number 163,1
Government policy update number 164,1
Government policy update number 165,1
Government policy update number 166,1
Government policy update number 167,1
Government policy update number 168,1
Government policy update number 169,1
Government policy update number 170,1
Government policy update number 171,1
Government policy update number 172,1
Government policy update number 173,1
Government policy update number 174,1
Government policy update number 175,1
Government policy update number 176,1
Government policy update number 177,1
Government policy update number 178,1
Government policy update number 179,1
Government policy update number 180,1
Government policy update number 181,1
Government policy update number 182,1
Government policy update number 183,1
Government policy update number 184,1
Government policy update number 185,1
Government policy update number 186,1
Government policy update number 187,1
Government policy update number 188,1
Government policy update number 189,1
Government policy update number 190,1
Government policy update number 191,1
Government policy update number 192,1
Government policy update number 193,1
Government policy update number 194,1
Government policy update number 195,1
Government policy update number 196,1
Government policy update number 197,1
Government policy update number 198,1
Government policy update number 199,1
Government policy update number 200,1
Government policy update number 201,1
Government policy update number 202,1
Government policy update number 203,1
Government policy update number 204,1
Government policy update number 205,1
Government policy update number 206,1
Government policy update number 207,1
Government policy update number 208,1
Government policy update number 209,1
Government policy update number 210,1
Government policy update number 211,1
Government policy update number 212,1
Government policy update number 213,1
Government policy update number 214,1
Government policy update number 215,1
Government policy update number 216,1
Government policy update number 217,1
Government policy update number 218,1
Government policy update number 219,1
Government policy update number 220,1
Government policy update number 221,1
Government policy update number 222,1
Government policy update number 223,1
Government policy update number 224,1
Government policy update number 225,1
Government policy update number 226,1
Government policy update number 227,1
Government policy update number 228,1
Government policy update number 229,1
Government policy update number 230,1
Government policy update number 231,1
Government policy update number 232,1
Government policy update number 233,1
Government policy update number 234,1
Government policy update number 235,1
Government policy update number 236,1
Government policy update number 237,1
Government policy update number 238,1
Government policy update number 239,1
Government policy update number 240,1
Government policy update number 241,1
Government policy update number 242,1
Government policy update number 243,1
Government policy update number 244,1
Government policy update number 245,1
Government policy update number 246,1
Government policy update number 247,1
Government policy update number 248,1
Government policy update number 249,1
Government policy update number 250,1
Government policy update number 251,1
Government policy update number 252,1
Government policy update number 253,1
Government policy update number 254,1
Government policy update number 255,1
Government policy update number 256,1
Government policy update number 257,1
Government policy update number 258,1
Government policy update number 259,1
Government policy update number 260,1
Government policy update number 261,1
Government policy update number 262,1
Government policy update number 263,1
Government policy update number 264,1
Government policy update number 265,1
Government policy update number 266,1
Government policy update number 267,1
Government policy update number 268,1
Government policy update number 269,1
Government policy update number 270,1
Government policy update number 271,1
Government policy update number 272,1
Government policy update number 273,1
Government policy update number 274,1
Government policy update number 275,1
Government policy update number 276,1
Government policy update number 277,1
Government policy update number 278,1
Government policy update number 279,1
Government policy update number 280,1
Government policy update number 281,1
Government policy update number 282,1
Government policy update number 283,1
Government policy update number 284,1
Government policy update number 285,1
Government policy update number 286,1
Government policy update number 287,1
Government policy update number 288,1
Government policy update number 289,1
Government policy update number 290,1
Government policy update number 291,1
Government policy update number 292,1
Government policy update number 293,1
Government policy update number 294,1
Government policy update number 295,1
Government policy update number 296,1
Government policy update number 297,1
Government policy update number 298,1
Government policy update number 299,1
Government policy update number 300,1
Government policy update number 301,1
Government policy update number 302,1
Government policy update number 303,1
Government policy update number 304,1
Government policy update number 305,1
Government policy update number 306,1
Government policy update number 307,1
Government policy update number 308,1
Government policy update number 309,1
Government policy update number 310,1
Government policy update number 311,1
Government policy update number 312,1
Government policy update number 313,1
Government policy update number 314,1
Government policy update number 315,1
Government policy update number 316,1
Government policy update number 317,1
Government policy update number 318,1
Government policy update number 319,1
Government policy update number 320,1
Government policy update number 321,1
Government policy update number 322,1
Government policy update number 323,1
Government policy update number 324,1
Government policy update number 325,1
Government policy update number 326,1
Government policy update number 327,1
Government policy update number 328,1
Government policy update number 329,1
Government policy update number 330,1
Government policy update number 331,1
Government policy update number 332,1
Government policy update number 333,1
Government policy update number 334,1
Government policy update number 335,1
Government policy update number 336,1
Government policy update number 337,1
Government policy update number 338,1
Government policy update number 339,1
Government policy update number 340,1
Government policy update number 341,1
Government policy update number 342,1
Government policy update number 343,1
Government policy update number 344,1
Government policy update number 345,1
Government policy update number 346,1
Government policy update number 347,1
Government policy update number 348,1
Government policy update number 349,1
Government policy update number 350,1
Government policy update number 351,1
Government policy update number 352,1
Government policy update number 353,1
Government policy update number 354,1
Government policy update number 355,1
Government policy update number 356,1
Government policy update number 357,1
Government policy update number 358,1
Government policy update number 359,1
Government policy update number 360,1
Government policy update number 361,1
Government policy update number 362,1
Government policy update number 363,1
Government policy update number 364,1
Government policy update number 365,1
Government policy update number 366,1
Government policy update number 367,1
Government policy update number 368,1
Government policy update number 369,1
Government policy update number 370,1
Government policy update number 371,1
Government policy update number 372,1
Government policy update number 373,1
Government policy update number 374,1
Government policy update number 375,1
Government policy update number 376,1
Government policy update number 377,1
Government policy update number 378,1
Government policy update number 379,1
Government policy update number 380,1
Government policy update number 381,1
Government policy update number 382,1
Government policy update number 383,1
Government policy update number 384,1
Government policy update number 385,1
Government policy update number 386,1
Government policy update number 387,1
Government policy update number 388,1
Government policy update number 389,1
Government policy update number 390,1
Government policy update number 391,1
Government policy update number 392,1
Government policy update number 393,1
Government policy update number 394,1
Government policy update number 395,1
Government policy update number 396,1
Government policy update number 397,1
Government policy update number 398,1
Government policy update number 399,1
Government policy update number 400,1
Government policy update number 401,1
Government policy update number 402,1
Government policy update number 403,1
Government policy update number 404,1
Government policy update number 405,1
Government policy update number 406,1
Government policy update number 407,1
Government policy update number 408,1
Government policy update number 409,1
Government policy update number 410,1
Government policy update number 411,1
Government policy update number 412,1
Government policy update number 413,1
Government policy update number 414,1
Government policy update number 415,1
Government policy update number 416,1
Government policy update number 417,1
Government policy update number 418,1
Government policy update number 419,1
Government policy update number 420,1
Government policy update number 421,1
Government policy update number 422,1
Government policy update number 423,1
Government policy update number 424,1
Government policy update number 425,1
Government policy update number 426,1
Government policy update number 427,1
Government policy update number 428,1
Government policy update number 429,1
Government policy update number 430,1
Government policy update number 431,1
Government policy update number 432,1
Government policy update number 433,1
Government policy update number 434,1
Government policy update number 435,1
Government policy update number 436,1
Government policy update number 437,1
Government policy update number 438,1
Government policy update number 439,1
Government policy update number 440,1
Government policy update number 441,1
Government policy update number 442,1
Government policy update number 443,1
Government policy update number 444,1
Government policy update number 445,1
Government policy update number 446,1
Government policy update number 447,1
Government policy update number 448,1
Government policy update number 449,1
Government policy update number 450,1
Government policy update number 451,1
Government policy update number 452,1
Government policy update number 453,1
Government policy update number 454,1
Government policy update number 455,1
Government policy update number 456,1
Government policy update number 457,1
Government policy update number 458,1
Government policy update number 459,1
Government policy update number 460,1
Government policy update number 461,1
Government policy update number 462,1
Government policy update number 463,1
Government policy update number 464,1
Government policy update number 465,1
Government policy update number 466,1
Government policy update number 467,1
Government policy update number 468,1
Government policy update number 469,1
Government policy update number 470,1
Government policy update number 471,1
Government policy update number 472,1
Government policy update number 473,1
Government policy update number 474,1
Government policy update number 475,1
Government policy update number 476,1
Government policy update number 477,1
Government policy update number 478,1
Government policy update number 479,1
Government policy update number 480,1
Government policy update number 481,1
Government policy update number 482,1
Government policy update number 483,1
Government policy update number 484,1
Government policy update number 485,1
Government policy update number 486,1
Government policy update number 487,1
Government policy update number 488,1
Government policy update number 489,1
Government policy update number 490,1
Government policy update number 491,1
Government policy update number 492,1
Government policy update number 493,1
Government policy update number 494,1
Government policy update number 495,1
Government policy update number 496,1
Government policy update number 497,1
Government policy update number 498,1
Government policy update number 499,1
Fake miracle scheme number 0,0
Fake miracle scheme number 1,0
Fake miracle scheme number 2,0
Fake miracle scheme number 3,0
Fake miracle scheme number 4,0
Fake miracle scheme number 5,0
Fake miracle scheme number 6,0
Fake miracle scheme number 7,0
Fake miracle scheme number 8,0
Fake miracle scheme number 9,0
Fake miracle scheme number 10,0
Fake miracle scheme number 11,0
Fake miracle scheme number 12,0
Fake miracle scheme number 13,0
Fake miracle scheme number 14,0
Fake miracle scheme number 15,0
Fake miracle scheme number 16,0
Fake miracle scheme number 17,0
Fake miracle scheme number 18,0
Fake miracle scheme number 19,0
Fake miracle scheme number 20,0
Fake miracle scheme number 21,0
Fake miracle scheme number 22,0
Fake miracle scheme number 23,0
Fake miracle scheme number 24,0
Fake miracle scheme number 25,0
Fake miracle scheme number 26,0
Fake miracle scheme number 27,0
Fake miracle scheme number 28,0
Fake miracle scheme number 29,0
Fake miracle scheme number 30,0
Fake miracle scheme number 31,0
Fake miracle scheme number 32,0
Fake miracle scheme number 33,0
Fake miracle scheme number 34,0
Fake miracle scheme number 35,0
Fake miracle scheme number 36,0
Fake miracle scheme number 37,0
Fake miracle scheme number 38,0
Fake miracle scheme number 39,0
Fake miracle scheme number 40,0
Fake miracle scheme number 41,0
Fake miracle scheme number 42,0
Fake miracle scheme number 43,0
Fake miracle scheme number 44,0
Fake miracle scheme number 45,0
Fake miracle scheme number 46,0
Fake miracle scheme number 47,0
Fake miracle scheme number 48,0
Fake miracle scheme number 49,0
Fake miracle scheme number 50,0
Fake miracle scheme number 51,0
Fake miracle scheme number 52,0
Fake miracle scheme number 53,0
Fake miracle scheme number 54,0
Fake miracle scheme number 55,0
Fake miracle scheme number 56,0
Fake miracle scheme number 57,0
Fake miracle scheme number 58,0
Fake miracle scheme number 59,0
Fake miracle scheme number 60,0
Fake miracle scheme number 61,0
Fake miracle scheme number 62,0
Fake miracle scheme number 63,0
Fake miracle scheme number 64,0
Fake miracle scheme number 65,0
Fake miracle scheme number 66,0
Fake miracle scheme number 67,0
Fake miracle scheme number 68,0
Fake miracle scheme number 69,0
Fake miracle scheme number 70,0
Fake miracle scheme number 71,0
Fake miracle scheme number 72,0
Fake miracle scheme number 73,0
Fake miracle scheme number 74,0
Fake miracle scheme number 75,0
Fake miracle scheme number 76,0
Fake miracle scheme number 77,0
Fake miracle scheme number 78,0
Fake miracle scheme number 79,0
Fake miracle scheme number 80,0
Fake miracle scheme number 81,0
Fake miracle scheme number 82,0
Fake miracle scheme number 83,0
Fake miracle scheme number 84,0
Fake miracle scheme number 85,0
Fake miracle scheme number 86,0
Fake miracle scheme number 87,0
Fake miracle scheme number 88,0
Fake miracle scheme number 89,0
Fake miracle scheme number 90,0
Fake miracle scheme number 91,0
Fake miracle scheme number 92,0
Fake miracle scheme number 93,0
Fake miracle scheme number 94,0
Fake miracle scheme number 95,0
Fake miracle scheme number 96,0
Fake miracle scheme number 97,0
Fake miracle scheme number 98,0
Fake miracle scheme number 99,0
Fake miracle scheme number 100,0
Fake miracle scheme number 101,0
Fake miracle scheme number 102,0
Fake miracle scheme number 103,0
Fake miracle scheme number 104,0
Fake miracle scheme number 105,0
Fake miracle scheme number 106,0
Fake miracle scheme number 107,0
Fake miracle scheme number 108,0
Fake miracle scheme number 109,0
Fake miracle scheme number 110,0
Fake miracle scheme number 111,0
Fake miracle scheme number 112,0
Fake miracle scheme number 113,0
Fake miracle scheme number 114,0
Fake miracle scheme number 115,0
Fake miracle scheme number 116,0
Fake miracle scheme number 117,0
Fake miracle scheme number 118,0
Fake miracle scheme number 119,0
Fake miracle scheme number 120,0
Fake miracle scheme number 121,0
Fake miracle scheme number 122,0
Fake miracle scheme number 123,0
Fake miracle scheme number 124,0
Fake miracle scheme number 125,0
Fake miracle scheme number 126,0
Fake miracle scheme number 127,0
Fake miracle scheme number 128,0
Fake miracle scheme number 129,0
Fake miracle scheme number 130,0
Fake miracle scheme number 131,0
Fake miracle scheme number 132,0
Fake miracle scheme number 133,0
Fake miracle scheme number 134,0
Fake miracle scheme number 135,0
Fake miracle scheme number 136,0
Fake miracle scheme number 137,0
Fake miracle scheme number 138,0
Fake miracle scheme number 139,0
Fake miracle scheme number 140,0
Fake miracle scheme number 141,0
Fake miracle scheme number 142,0
Fake miracle scheme number 143,0
Fake miracle scheme number 144,0
Fake miracle scheme number 145,0
Fake miracle scheme number 146,0
Fake miracle scheme number 147,0
Fake miracle scheme number 148,0
Fake miracle scheme number 149,0
Fake miracle scheme number 150,0
Fake miracle scheme number 151,0
Fake miracle scheme number 152,0
Fake miracle scheme number 153,0
Fake miracle scheme number 154,0
Fake miracle scheme number 155,0
Fake miracle scheme number 156,0
Fake miracle scheme number 157,0
Fake miracle scheme number 158,0
Fake miracle scheme number 159,0
Fake miracle scheme number 160,0
Fake miracle scheme number 161,0
Fake miracle scheme number 162,0
Fake miracle scheme number 163,0
Fake miracle scheme number 164,0
Fake miracle scheme number 165,0
Fake miracle scheme number 166,0
Fake miracle scheme number 167,0
Fake miracle scheme number 168,0
Fake miracle scheme number 169,0
Fake miracle scheme number 170,0
Fake miracle scheme number 171,0
Fake miracle scheme number 172,0
Fake miracle scheme number 173,0
Fake miracle scheme number 174,0
Fake miracle scheme number 175,0
Fake miracle scheme number 176,0
Fake miracle scheme number 177,0
Fake miracle scheme number 178,0
Fake miracle scheme number 179,0
Fake miracle scheme number 180,0
Fake miracle scheme number 181,0
Fake miracle scheme number 182,0
Fake miracle scheme number 183,0
Fake miracle scheme number 184,0
Fake miracle scheme number 185,0
Fake miracle scheme number 186,0
Fake miracle scheme number 187,0
Fake miracle scheme number 188,0
Fake miracle scheme number 189,0
Fake miracle scheme number 190,0
Fake miracle scheme number 191,0
Fake miracle scheme number 192,0
Fake miracle scheme number 193,0
Fake miracle scheme number 194,0
Fake miracle scheme number 195,0
Fake miracle scheme number 196,0
Fake miracle scheme number 197,0
Fake miracle scheme number 198,0
Fake miracle scheme number 199,0
Fake miracle scheme number 200,0
Fake miracle scheme number 201,0
Fake miracle scheme number 202,0
Fake miracle scheme number 203,0
Fake miracle scheme number 204,0
Fake miracle scheme number 205,0
Fake miracle scheme number 206,0
Fake miracle scheme number 207,0
Fake miracle scheme number 208,0
Fake miracle scheme number 209,0
Fake miracle scheme number 210,0
Fake miracle scheme number 211,0
Fake miracle scheme number 212,0
Fake miracle scheme number 213,0
Fake miracle scheme number 214,0
Fake miracle scheme number 215,0
Fake miracle scheme number 216,0
Fake miracle scheme number 217,0
Fake miracle scheme number 218,0
Fake miracle scheme number 219,0
Fake miracle scheme number 220,0
Fake miracle scheme number 221,0
Fake miracle scheme number 222,0
Fake miracle scheme number 223,0
Fake miracle scheme number 224,0
Fake miracle scheme number 225,0
Fake miracle scheme number 226,0
Fake miracle scheme number 227,0
Fake miracle scheme number 228,0
Fake miracle scheme number 229,0
Fake miracle scheme number 230,0
Fake miracle scheme number 231,0
Fake miracle scheme number 232,0
Fake miracle scheme number 233,0
Fake miracle scheme number 234,0
Fake miracle scheme number 235,0
Fake miracle scheme number 236,0
Fake miracle scheme number 237,0
Fake miracle scheme number 238,0
Fake miracle scheme number 239,0
Fake miracle scheme number 240,0
Fake miracle scheme number 241,0
Fake miracle scheme number 242,0
Fake miracle scheme number 243,0
Fake miracle scheme number 244,0
Fake miracle scheme number 245,0
Fake miracle scheme number 246,0
Fake miracle scheme number 247,0
Fake miracle scheme number 248,0
Fake miracle scheme number 249,0
Fake miracle scheme number 250,0
Fake miracle scheme number 251,0
Fake miracle scheme number 252,0
Fake miracle scheme number 253,0
Fake miracle scheme number 254,0
Fake miracle scheme number 255,0
Fake miracle scheme number 256,0
Fake miracle scheme number 257,0
Fake miracle scheme number 258,0
Fake miracle scheme number 259,0
Fake miracle scheme number 260,0
Fake miracle scheme number 261,0
Fake miracle scheme number 262,0
Fake miracle scheme number 263,0
Fake miracle scheme number 264,0
Fake miracle scheme number 265,0
Fake miracle scheme number 266,0
Fake miracle scheme number 267,0
Fake miracle scheme number 268,0
Fake miracle scheme number 269,0
Fake miracle scheme number 270,0
Fake miracle scheme number 271,0
Fake miracle scheme number 272,0
Fake miracle scheme number 273,0
Fake miracle scheme number 274,0
Fake miracle scheme number 275,0
Fake miracle scheme number 276,0
Fake miracle scheme number 277,0
Fake miracle scheme number 278,0
Fake miracle scheme number 279,0
Fake miracle scheme number 280,0
Fake miracle scheme number 281,0
Fake miracle scheme number 282,0
Fake miracle scheme number 283,0
Fake miracle scheme number 284,0
Fake miracle scheme number 285,0
Fake miracle scheme number 286,0
Fake miracle scheme number 287,0
Fake miracle scheme number 288,0
